modality,disease,feature,feature_rank,mean_abs_shap,median_abs_shap,pct_contribution,directional_association
Clinical,Metabolic_Syndrome,Height,4,0.029211,0.028116,1.77,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,Fasting_Blood_Glucose,5,0.016666,0.014336,1.01,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,Age,6,0.056673,0.057826,3.44,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,Waist_Circumference,7,0.301655,0.287433,18.29,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,Weight,8,0.163568,0.154714,9.92,Higher value associated with lower model-predicted risk
Clinical,Metabolic_Syndrome,AST,9,0.051689,0.045604,3.13,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,Systolic_BP,10,0.133825,0.120262,8.11,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,Gender,11,0.017278,0.017006,1.05,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,BMI,12,0.057285,0.057429,3.47,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,Diastolic_BP,13,0.154631,0.140743,9.37,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,Triglycerides,14,0.238699,0.217961,14.47,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,HDL,15,0.143761,0.127365,8.72,Higher value associated with lower model-predicted risk
Clinical,Metabolic_Syndrome,Family_History_Diabetes,16,0.01569,0.010776,0.95,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,Family_History_Hypertension,17,0.01559,0.011635,0.95,Higher value associated with higher model-predicted risk
Clinical,Metabolic_Syndrome,Family_History_CVD,18,0.002705,0.001743,0.16,Higher value associated with higher model-predicted risk
Clinical,NAFLD,LDL,1,0.068139,0.066562,2.5,Non-linear / context-dependent model risk association
Clinical,NAFLD,Family_History_CVD,2,0.003352,0.002792,0.12,Higher value associated with lower model-predicted risk
Clinical,NAFLD,HbA1c,3,0.062996,0.061032,2.31,Non-linear / context-dependent model risk association
Clinical,NAFLD,Fasting_Blood_Glucose,4,0.010628,0.010586,0.39,Non-linear / context-dependent model risk association
Clinical,NAFLD,Waist_Circumference,5,0.439113,0.438983,16.13,Non-linear / context-dependent model risk association
Clinical,NAFLD,Height,6,0.019892,0.019854,0.73,Non-linear / context-dependent model risk association
Clinical,NAFLD,Triglycerides,7,0.413125,0.40955,15.18,Non-linear / context-dependent model risk association
Clinical,NAFLD,ALT,8,0.671986,0.672712,24.69,Non-linear / context-dependent model risk association
Clinical,NAFLD,HDL,9,0.260599,0.260497,9.57,Non-linear / context-dependent model risk association
Clinical,NAFLD,Diastolic_BP,10,0.005208,0.004918,0.19,Higher value associated with lower model-predicted risk
Clinical,NAFLD,Weight,11,0.028054,0.028184,1.03,Non-linear / context-dependent model risk association
Clinical,NAFLD,BMI,12,0.099486,0.099285,3.66,Non-linear / context-dependent model risk association
Clinical,NAFLD,Systolic_BP,13,0.011734,0.014026,0.43,Non-linear / context-dependent model risk association
Clinical,NAFLD,Age,14,0.006174,0.005361,0.23,Non-linear / context-dependent model risk association
Clinical,NAFLD,Gender,15,0.0,0.0,0.0,Non-linear / context-dependent model risk association
Clinical,NAFLD,AST,16,0.616661,0.617666,22.66,Non-linear / context-dependent model risk association
Clinical,NAFLD,Family_History_Hypertension,17,0.000654,0.000417,0.02,Higher value associated with higher model-predicted risk
Clinical,NAFLD,Family_History_Diabetes,18,0.004097,0.002492,0.15,Higher value associated with lower model-predicted risk
Clinical,Prediabetes,Systolic_BP,1,0.011847,0.010646,0.85,Higher value associated with lower model-predicted risk
Clinical,Prediabetes,LDL,2,0.033229,0.029236,2.37,Higher value associated with lower model-predicted risk
Clinical,Prediabetes,Triglycerides,3,0.007298,0.006664,0.52,Higher value associated with lower model-predicted risk
Clinical,Prediabetes,Family_History_Hypertension,4,0.013104,0.009779,0.93,Higher value associated with higher model-predicted risk
Clinical,Prediabetes,AST,5,0.063204,0.055764,4.51,Higher value associated with higher model-predicted risk
Clinical,Prediabetes,Gender,6,0.013053,0.012847,0.93,Higher value associated with lower model-predicted risk
Clinical,Prediabetes,ALT,7,0.066349,0.055494,4.73,Higher value associated with higher model-predicted risk
Clinical,Prediabetes,Diastolic_BP,8,0.044599,0.040593,3.18,Higher value associated with lower model-predicted risk
Clinical,Prediabetes,Height,9,0.021835,0.021016,1.56,Higher value associated with lower model-predicted risk
Clinical,Prediabetes,Age,10,0.058089,0.059271,4.14,Higher value associated with higher model-predicted risk
Clinical,Prediabetes,Family_History_Diabetes,11,0.041957,0.028817,2.99,Higher value associated with higher model-predicted risk
Clinical,Prediabetes,Weight,12,0.004564,0.004317,0.33,Higher value associated with higher model-predicted risk
Clinical,Prediabetes,HbA1c,13,0.479296,0.425564,34.2,Higher value associated with higher model-predicted risk
Clinical,Prediabetes,BMI,14,0.010486,0.010512,0.75,Higher value associated with higher model-predicted risk
Clinical,Prediabetes,Waist_Circumference,15,0.260367,0.248091,18.58,Higher value associated with higher model-predicted risk
Clinical,Prediabetes,Fasting_Blood_Glucose,16,0.141048,0.121325,10.06,Higher value associated with higher model-predicted risk
Clinical,Prediabetes,HDL,17,0.129197,0.114462,9.22,Higher value associated with lower model-predicted risk
Clinical,Prediabetes,Family_History_CVD,18,0.002134,0.001375,0.15,Higher value associated with lower model-predicted risk
Clinical,Type2_Diabetes,Waist_Circumference,1,0.32512,0.309791,19.56,Higher value associated with higher model-predicted risk
Clinical,Type2_Diabetes,AST,2,0.016518,0.014574,0.99,Higher value associated with lower model-predicted risk
Clinical,Type2_Diabetes,Fasting_Blood_Glucose,3,0.129215,0.111147,7.77,Higher value associated with higher model-predicted risk
Clinical,Type2_Diabetes,HDL,4,0.138467,0.122675,8.33,Higher value associated with lower model-predicted risk
Clinical,Type2_Diabetes,LDL,5,0.048693,0.042842,2.93,Higher value associated with lower model-predicted risk
Clinical,Type2_Diabetes,Gender,6,0.00836,0.008228,0.5,Higher value associated with lower model-predicted risk
Clinical,Type2_Diabetes,HbA1c,7,0.566173,0.502701,34.06,Higher value associated with higher model-predicted risk
Clinical,Type2_Diabetes,Triglycerides,8,0.004415,0.004031,0.27,Higher value associated with lower model-predicted risk
Clinical,Type2_Diabetes,BMI,9,0.020325,0.020376,1.22,Higher value associated with higher model-predicted risk
Clinical,Type2_Diabetes,Age,10,0.066241,0.067589,3.99,Higher value associated with higher model-predicted risk
Clinical,Type2_Diabetes,Family_History_Diabetes,11,0.041637,0.028597,2.51,Higher value associated with higher model-predicted risk
Clinical,Type2_Diabetes,Weight,12,0.021989,0.020799,1.32,Higher value associated with higher model-predicted risk
Clinical,Type2_Diabetes,Systolic_BP,13,0.039567,0.035557,2.38,Higher value associated with lower model-predicted risk
Clinical,Type2_Diabetes,Height,14,0.041122,0.03958,2.47,Higher value associated with lower model-predicted risk
Clinical,Type2_Diabetes,ALT,15,0.151754,0.126927,9.13,Higher value associated with higher model-predicted risk
Clinical,Type2_Diabetes,Diastolic_BP,16,0.036445,0.033172,2.19,Higher value associated with lower model-predicted risk
Clinical,Type2_Diabetes,Family_History_CVD,17,0.003082,0.001986,0.19,Higher value associated with higher model-predicted risk
Clinical,Type2_Diabetes,Family_History_Hypertension,18,0.002997,0.002237,0.18,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Phascolarctobacterium_faecium,1,0.003276,0.002686,0.34,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Faecalibacterium_prausnitzii,2,0.067761,0.05874,7.02,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Prevotella_copri,3,0.034718,0.027558,3.6,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Eubacterium_hallii,4,0.006994,0.005925,0.72,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Shannon_Diversity,5,0.040618,0.032006,4.21,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Ruminococcus_bromii,6,0.023208,0.01887,2.4,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Klebsiella_pneumoniae,7,0.018878,0.015158,1.95,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Alistipes_finegoldii,8,0.003672,0.003101,0.38,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Coprococcus_eutactus,9,0.011123,0.00942,1.15,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Bacteroides_fragilis,10,0.019702,0.016691,2.04,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Blautia_wexlerae,11,0.018442,0.016097,1.91,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Roseburia_intestinalis,12,0.02647,0.021399,2.74,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Eubacterium_rectale,13,0.025385,0.019897,2.63,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Butyrate_Producer_Index,14,0.002015,0.001781,0.21,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Escherichia_coli,15,0.044312,0.040323,4.59,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Bifidobacterium_adolescentis,16,0.003971,0.003148,0.41,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Subdoligranulum_variable,17,0.020051,0.017072,2.08,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Eggerthella_lenta,18,0.014502,0.012757,1.5,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Bilophila_wadsworthia,19,0.003425,0.002801,0.35,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Simpson_Diversity,20,0.016505,0.013677,1.71,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Alistipes_putredinis,21,0.006478,0.005214,0.67,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Bifidobacterium_longum,22,0.017359,0.013612,1.8,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Ruminococcus_gnavus,23,0.05305,0.044477,5.49,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Veillonella_parvula,24,0.008452,0.006822,0.88,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Bacteroides_vulgatus,25,0.021673,0.018028,2.24,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Holdemanella_biformis,26,0.006484,0.005321,0.67,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Streptococcus_thermophilus,27,0.001254,0.001027,0.13,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Log_Firmicutes_Bacteroidetes_Ratio,28,0.104217,0.084906,10.79,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Lactobacillus_acidophilus,29,0.008477,0.006572,0.88,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Dialister_invisus,30,0.001463,0.001172,0.15,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Observed_Richness,31,0.022475,0.018183,2.33,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Inflammation_Associated_Index,32,0.013552,0.012676,1.4,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Fusobacterium_nucleatum,33,0.010405,0.008754,1.08,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Blautia_hansenii,34,0.003021,0.002577,0.31,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Christensenella_minuta,35,0.009946,0.008012,1.03,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,SCFA_Producer_Index,36,0.030387,0.027608,3.15,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Barnesiella_intestinihominis,37,0.022554,0.019018,2.34,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Methanobrevibacter_smithii,38,0.003425,0.00281,0.35,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Pielou_Evenness,39,0.018839,0.015105,1.95,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Anaerostipes_caccae,40,0.01075,0.008373,1.11,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Bacteroides_thetaiotaomicron,41,0.026221,0.022554,2.72,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Parabacteroides_distasonis,42,0.036187,0.030376,3.75,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Collinsella_aerofaciens,43,0.022359,0.01749,2.32,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Enterococcus_faecalis,44,0.049173,0.043017,5.09,Higher value associated with higher model-predicted risk
Gut,High_Adiposity_Risk,Bacteroides_uniformis,45,0.021655,0.017688,2.24,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Barrier_Associated_Index,46,0.004616,0.00384,0.48,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Sutterella_wadsworthensis,47,0.008041,0.006674,0.83,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Lactobacillus_rhamnosus,48,0.011134,0.009222,1.15,Higher value associated with lower model-predicted risk
Gut,High_Adiposity_Risk,Akkermansia_muciniphila,49,0.007047,0.005658,0.73,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Fusobacterium_nucleatum,1,0.01903,0.016009,2.52,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Veillonella_parvula,2,0.024813,0.020027,3.28,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Anaerostipes_caccae,3,0.002171,0.001691,0.29,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Streptococcus_thermophilus,4,0.010334,0.008462,1.37,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Phascolarctobacterium_faecium,5,0.00078,0.00064,0.1,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Alistipes_finegoldii,6,0.009003,0.007604,1.19,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,SCFA_Producer_Index,7,0.011515,0.010462,1.52,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Alistipes_putredinis,8,0.009888,0.00796,1.31,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Holdemanella_biformis,9,0.013087,0.010739,1.73,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Dialister_invisus,10,0.008762,0.007022,1.16,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Barrier_Associated_Index,11,0.013706,0.011401,1.81,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Bacteroides_vulgatus,12,0.002448,0.002036,0.32,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Collinsella_aerofaciens,13,0.011757,0.009197,1.56,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Barnesiella_intestinihominis,14,0.011131,0.009386,1.47,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Subdoligranulum_variable,15,0.003435,0.002925,0.45,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Roseburia_intestinalis,16,0.005502,0.004448,0.73,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Bacteroides_thetaiotaomicron,17,0.012289,0.01057,1.63,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Observed_Richness,18,0.008124,0.006573,1.07,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Lactobacillus_rhamnosus,19,0.014447,0.011967,1.91,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Eggerthella_lenta,20,0.030839,0.027128,4.08,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Simpson_Diversity,21,0.045188,0.037443,5.98,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Prevotella_copri,22,0.008057,0.006396,1.07,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Blautia_hansenii,23,0.006017,0.005133,0.8,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Inflammation_Associated_Index,24,0.044698,0.041808,5.91,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Blautia_wexlerae,25,0.016156,0.014102,2.14,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Sutterella_wadsworthensis,26,0.010857,0.009012,1.44,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Escherichia_coli,27,0.050447,0.045906,6.67,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Parabacteroides_distasonis,28,0.018428,0.015468,2.44,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Bacteroides_uniformis,29,0.00622,0.00508,0.82,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Pielou_Evenness,30,0.054546,0.043735,7.22,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Lactobacillus_acidophilus,31,0.003668,0.002844,0.49,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Christensenella_minuta,32,0.002592,0.002088,0.34,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Coprococcus_eutactus,33,0.003407,0.002885,0.45,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Eubacterium_rectale,34,0.016713,0.0131,2.21,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Butyrate_Producer_Index,35,0.003465,0.003063,0.46,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Log_Firmicutes_Bacteroidetes_Ratio,36,0.004098,0.003338,0.54,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Ruminococcus_bromii,37,0.002018,0.001641,0.27,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Ruminococcus_gnavus,38,0.0331,0.027751,4.38,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Bacteroides_fragilis,39,0.013041,0.011047,1.73,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Eubacterium_hallii,40,0.001876,0.001589,0.25,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Akkermansia_muciniphila,41,0.004676,0.003754,0.62,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Bifidobacterium_longum,42,0.009671,0.007584,1.28,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Methanobrevibacter_smithii,43,0.010246,0.008407,1.36,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Faecalibacterium_prausnitzii,44,0.004778,0.004142,0.63,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Enterococcus_faecalis,45,0.029741,0.026018,3.93,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Shannon_Diversity,46,0.055358,0.04362,7.32,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Klebsiella_pneumoniae,47,0.036695,0.029465,4.85,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Bifidobacterium_adolescentis,48,0.004823,0.003824,0.64,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Bilophila_wadsworthia,49,0.03232,0.02643,4.28,Higher value associated with higher model-predicted risk
Gut,NAFLD,Escherichia_coli,1,0.019253,0.019458,6.53,Higher value associated with higher model-predicted risk
Gut,NAFLD,Blautia_wexlerae,2,0.003941,0.004038,1.34,Higher value associated with lower model-predicted risk
Gut,NAFLD,Eubacterium_hallii,3,0.001162,0.001165,0.39,Higher value associated with lower model-predicted risk
Gut,NAFLD,Coprococcus_eutactus,4,0.002205,0.002281,0.75,Higher value associated with lower model-predicted risk
Gut,NAFLD,Barnesiella_intestinihominis,5,0.00027,0.000192,0.09,Non-linear / context-dependent model risk association
Gut,NAFLD,Parabacteroides_distasonis,6,0.00049,0.000435,0.17,Higher value associated with lower model-predicted risk
Gut,NAFLD,Anaerostipes_caccae,7,0.001045,0.001103,0.35,Higher value associated with lower model-predicted risk
Gut,NAFLD,Veillonella_parvula,8,0.000511,0.000493,0.17,Non-linear / context-dependent model risk association
Gut,NAFLD,Alistipes_finegoldii,9,0.000517,0.000406,0.18,Higher value associated with lower model-predicted risk
Gut,NAFLD,Lactobacillus_rhamnosus,10,0.001337,0.001438,0.45,Higher value associated with lower model-predicted risk
Gut,NAFLD,Lactobacillus_acidophilus,11,0.000511,0.00041,0.17,Higher value associated with lower model-predicted risk
Gut,NAFLD,Bacteroides_vulgatus,12,0.001117,0.001035,0.38,Non-linear / context-dependent model risk association
Gut,NAFLD,Alistipes_putredinis,13,0.001628,0.001711,0.55,Higher value associated with lower model-predicted risk
Gut,NAFLD,Subdoligranulum_variable,14,0.001167,0.001129,0.4,Higher value associated with lower model-predicted risk
Gut,NAFLD,Enterococcus_faecalis,15,0.014067,0.014812,4.77,Higher value associated with higher model-predicted risk
Gut,NAFLD,Bifidobacterium_adolescentis,16,0.001136,0.001163,0.39,Higher value associated with lower model-predicted risk
Gut,NAFLD,Bifidobacterium_longum,17,0.004205,0.004702,1.43,Higher value associated with lower model-predicted risk
Gut,NAFLD,Eubacterium_rectale,18,0.004209,0.004403,1.43,Higher value associated with lower model-predicted risk
Gut,NAFLD,Streptococcus_thermophilus,19,0.00056,0.000473,0.19,Higher value associated with lower model-predicted risk
Gut,NAFLD,Simpson_Diversity,20,0.000568,0.000435,0.19,Non-linear / context-dependent model risk association
Gut,NAFLD,Dialister_invisus,21,0.001306,0.001435,0.44,Higher value associated with lower model-predicted risk
Gut,NAFLD,Bacteroides_fragilis,22,0.000995,0.001045,0.34,Higher value associated with lower model-predicted risk
Gut,NAFLD,Klebsiella_pneumoniae,23,0.021861,0.023259,7.41,Higher value associated with higher model-predicted risk
Gut,NAFLD,Holdemanella_biformis,24,0.000762,0.000733,0.26,Higher value associated with lower model-predicted risk
Gut,NAFLD,SCFA_Producer_Index,25,0.029343,0.033421,9.95,Higher value associated with lower model-predicted risk
Gut,NAFLD,Pielou_Evenness,26,0.007286,0.008028,2.47,Higher value associated with lower model-predicted risk
Gut,NAFLD,Eggerthella_lenta,27,0.010333,0.011444,3.5,Higher value associated with higher model-predicted risk
Gut,NAFLD,Shannon_Diversity,28,0.004599,0.004712,1.56,Higher value associated with lower model-predicted risk
Gut,NAFLD,Prevotella_copri,29,0.001662,0.001732,0.56,Higher value associated with lower model-predicted risk
Gut,NAFLD,Butyrate_Producer_Index,30,0.023839,0.027959,8.09,Higher value associated with lower model-predicted risk
Gut,NAFLD,Inflammation_Associated_Index,31,0.044992,0.04695,15.26,Higher value associated with higher model-predicted risk
Gut,NAFLD,Christensenella_minuta,32,0.000394,0.000296,0.13,Non-linear / context-dependent model risk association
Gut,NAFLD,Bilophila_wadsworthia,33,0.017764,0.020205,6.02,Higher value associated with higher model-predicted risk
Gut,NAFLD,Log_Firmicutes_Bacteroidetes_Ratio,34,0.001215,0.001005,0.41,Higher value associated with higher model-predicted risk
Gut,NAFLD,Phascolarctobacterium_faecium,35,0.000837,0.00085,0.28,Higher value associated with lower model-predicted risk
Gut,NAFLD,Fusobacterium_nucleatum,36,0.00936,0.010549,3.17,Higher value associated with higher model-predicted risk
Gut,NAFLD,Observed_Richness,37,0.006922,0.006801,2.35,Non-linear / context-dependent model risk association
Gut,NAFLD,Ruminococcus_bromii,38,0.001762,0.001768,0.6,Higher value associated with lower model-predicted risk
Gut,NAFLD,Bacteroides_thetaiotaomicron,39,0.001864,0.001982,0.63,Non-linear / context-dependent model risk association
Gut,NAFLD,Barrier_Associated_Index,40,0.011255,0.012316,3.82,Higher value associated with lower model-predicted risk
Gut,NAFLD,Collinsella_aerofaciens,41,0.002251,0.002322,0.76,Higher value associated with higher model-predicted risk
Gut,NAFLD,Sutterella_wadsworthensis,42,0.000344,0.000254,0.12,Non-linear / context-dependent model risk association
Gut,NAFLD,Blautia_hansenii,43,0.002649,0.00267,0.9,Higher value associated with lower model-predicted risk
Gut,NAFLD,Ruminococcus_gnavus,44,0.014342,0.015862,4.86,Higher value associated with higher model-predicted risk
Gut,NAFLD,Faecalibacterium_prausnitzii,45,0.007167,0.007859,2.43,Higher value associated with lower model-predicted risk
Gut,NAFLD,Roseburia_intestinalis,46,0.001885,0.001833,0.64,Higher value associated with lower model-predicted risk
Gut,NAFLD,Bacteroides_uniformis,47,0.003076,0.003226,1.04,Higher value associated with lower model-predicted risk
Gut,NAFLD,Akkermansia_muciniphila,48,0.004544,0.005047,1.54,Higher value associated with lower model-predicted risk
Gut,NAFLD,Methanobrevibacter_smithii,49,0.00034,0.000244,0.12,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Lactobacillus_rhamnosus,1,0.001839,0.001523,0.13,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Ruminococcus_bromii,2,0.024014,0.019525,1.67,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Eubacterium_hallii,3,0.015217,0.01289,1.06,Higher value associated with higher model-predicted risk
Gut,Prediabetes,SCFA_Producer_Index,4,0.038344,0.034837,2.67,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Bilophila_wadsworthia,5,0.011081,0.009062,0.77,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Bifidobacterium_adolescentis,6,0.010143,0.008043,0.71,Higher value associated with lower model-predicted risk
