modality,disease,feature,top10_frequency,mean_rank,rank_std_dev,is_stable_predictor
Clinical,Prediabetes,ALT,1.0,7.0,0.0,True
Clinical,Prediabetes,AST,1.0,5.0,0.0,True
Clinical,Prediabetes,Family_History_Diabetes,0.0,11.0,0.0,False
Clinical,Prediabetes,Family_History_Hypertension,1.0,4.0,0.0,True
Clinical,Prediabetes,Family_History_CVD,0.0,18.0,0.0,False
Clinical,High_Adiposity_Risk,Age,1.0,5.0,0.0,True
Clinical,High_Adiposity_Risk,Gender,1.0,6.0,0.0,True
Clinical,High_Adiposity_Risk,Height,0.0,12.0,0.0,False
Clinical,High_Adiposity_Risk,Weight,0.0,13.0,0.0,False
Clinical,High_Adiposity_Risk,BMI,1.0,3.0,0.0,True
Clinical,High_Adiposity_Risk,Waist_Circumference,1.0,1.0,0.0,True
Clinical,High_Adiposity_Risk,Systolic_BP,0.0,14.0,0.0,False
Clinical,High_Adiposity_Risk,Diastolic_BP,0.95,4.55,2.4,True
Clinical,High_Adiposity_Risk,Fasting_Blood_Glucose,0.05,14.45,2.4,False
Clinical,High_Adiposity_Risk,HbA1c,1.0,10.0,0.0,True
Clinical,High_Adiposity_Risk,Triglycerides,1.0,7.0,0.0,True
Clinical,High_Adiposity_Risk,HDL,0.0,11.0,0.0,False
Clinical,High_Adiposity_Risk,LDL,0.0,17.0,0.0,False
Clinical,High_Adiposity_Risk,ALT,1.0,2.0,0.0,True
Clinical,High_Adiposity_Risk,AST,1.0,9.0,0.0,True
Clinical,High_Adiposity_Risk,Family_History_Diabetes,0.25,14.0,3.46,False
Clinical,High_Adiposity_Risk,Family_History_Hypertension,0.75,10.0,3.46,False
Clinical,High_Adiposity_Risk,Family_History_CVD,0.0,18.0,0.0,False
Clinical,Metabolic_Syndrome,Age,1.0,6.0,0.0,True
Clinical,Metabolic_Syndrome,Gender,0.0,11.0,0.0,False
Clinical,Metabolic_Syndrome,Height,1.0,4.4,1.2,True
Clinical,Metabolic_Syndrome,Weight,0.9,8.0,1.79,True
Clinical,Metabolic_Syndrome,BMI,0.15,11.35,1.56,False
Clinical,Metabolic_Syndrome,Waist_Circumference,0.95,7.25,1.09,True
Clinical,Metabolic_Syndrome,Systolic_BP,1.0,10.0,0.0,True
Clinical,Metabolic_Syndrome,Diastolic_BP,0.0,13.0,0.0,False
Clinical,Metabolic_Syndrome,Fasting_Blood_Glucose,1.0,3.6,1.91,True
Clinical,Metabolic_Syndrome,HbA1c,0.95,3.05,3.14,True
Clinical,Metabolic_Syndrome,Triglycerides,0.05,13.4,2.85,False
Clinical,Metabolic_Syndrome,HDL,0.0,14.95,0.22,False
Clinical,Metabolic_Syndrome,LDL,1.0,3.0,0.0,True
Clinical,Metabolic_Syndrome,ALT,1.0,4.45,3.34,True
Clinical,Metabolic_Syndrome,AST,0.85,7.6,4.75,True
Clinical,Metabolic_Syndrome,Family_History_Diabetes,0.05,16.3,1.73,False
Clinical,Metabolic_Syndrome,Family_History_Hypertension,0.1,15.65,2.26,False
Clinical,Metabolic_Syndrome,Family_History_CVD,0.0,18.0,0.0,False
Clinical,NAFLD,Age,0.0,14.0,0.0,False
Clinical,NAFLD,Gender,0.0,15.0,0.0,False
Clinical,NAFLD,Height,1.0,6.0,0.0,True
Clinical,NAFLD,Weight,0.0,11.0,0.0,False
Clinical,NAFLD,BMI,0.0,12.0,0.0,False
Clinical,NAFLD,Waist_Circumference,1.0,5.0,0.0,True
Clinical,NAFLD,Systolic_BP,0.0,13.0,0.0,False
Clinical,NAFLD,Diastolic_BP,1.0,10.0,0.0,True
Clinical,NAFLD,Fasting_Blood_Glucose,1.0,4.0,0.0,True
Clinical,NAFLD,HbA1c,1.0,3.0,0.0,True
Clinical,NAFLD,Triglycerides,1.0,7.0,0.0,True
Clinical,NAFLD,HDL,1.0,9.0,0.0,True
Clinical,NAFLD,LDL,1.0,1.0,0.0,True
Clinical,NAFLD,ALT,1.0,8.0,0.0,True
Clinical,NAFLD,AST,0.0,16.0,0.0,False
Clinical,NAFLD,Family_History_Diabetes,0.0,18.0,0.0,False
Clinical,NAFLD,Family_History_Hypertension,0.0,17.0,0.0,False
Clinical,NAFLD,Family_History_CVD,1.0,2.0,0.0,True
Wearable,Type2_Diabetes,Average_Daily_Steps,1.0,8.0,0.0,True
Wearable,Type2_Diabetes,Active_Minutes,1.0,5.0,0.0,True
Wearable,Type2_Diabetes,Sedentary_Time_Minutes,1.0,5.5,2.29,True
Wearable,Type2_Diabetes,Resting_Heart_Rate,1.0,7.5,2.29,True
Wearable,Type2_Diabetes,Heart_Rate_Variability_RMSSD,0.0,12.0,0.0,False
Wearable,Type2_Diabetes,Sleep_Duration_Hours,1.0,3.75,1.3,True
Wearable,Type2_Diabetes,Sleep_Efficiency_Score,0.95,5.5,1.8,True
Wearable,Type2_Diabetes,Autonomic_Stress_Score,0.05,10.75,1.09,False
Wearable,Type2_Diabetes,Activity_Energy_Expenditure,1.0,2.0,0.0,True
Wearable,Type2_Diabetes,Exercise_Frequency_Days,1.0,7.0,0.0,True
Wearable,Type2_Diabetes,CGM_Average_Glucose,0.0,13.0,0.0,False
Wearable,Type2_Diabetes,CGM_Glucose_CV,1.0,10.0,0.0,True
Wearable,Type2_Diabetes,CGM_Time_In_Range,0.0,15.0,0.0,False
Wearable,Type2_Diabetes,CGM_Time_Above_Range,0.5,7.5,6.5,False
Wearable,Type2_Diabetes,CGM_Time_Below_Range,0.5,7.5,6.5,False
Wearable,Prediabetes,Average_Daily_Steps,0.0,12.0,0.0,False
Wearable,Prediabetes,Active_Minutes,1.0,9.0,0.0,True
Wearable,Prediabetes,Sedentary_Time_Minutes,0.0,11.0,0.0,False
Wearable,Prediabetes,Resting_Heart_Rate,1.0,5.0,0.0,True
Wearable,Prediabetes,Heart_Rate_Variability_RMSSD,1.0,4.0,0.0,True
Wearable,Prediabetes,Sleep_Duration_Hours,1.0,8.0,0.0,True
Wearable,Prediabetes,Sleep_Efficiency_Score,1.0,3.0,0.0,True
Wearable,Prediabetes,Autonomic_Stress_Score,0.0,14.0,0.0,False
Wearable,Prediabetes,Activity_Energy_Expenditure,0.0,13.0,0.0,False
Wearable,Prediabetes,Exercise_Frequency_Days,1.0,2.0,0.0,True
Wearable,Prediabetes,CGM_Average_Glucose,1.0,6.0,0.0,True
Wearable,Prediabetes,CGM_Glucose_CV,1.0,7.0,0.0,True
Wearable,Prediabetes,CGM_Time_In_Range,1.0,1.0,0.0,True
Wearable,Prediabetes,CGM_Time_Above_Range,0.0,15.0,0.0,False
Wearable,Prediabetes,CGM_Time_Below_Range,1.0,10.0,0.0,True
Wearable,High_Adiposity_Risk,Average_Daily_Steps,1.0,3.0,0.0,True
Wearable,High_Adiposity_Risk,Active_Minutes,1.0,8.35,0.48,True
Wearable,High_Adiposity_Risk,Sedentary_Time_Minutes,1.0,8.4,1.11,True
Wearable,High_Adiposity_Risk,Resting_Heart_Rate,1.0,4.25,1.09,True
Wearable,High_Adiposity_Risk,Heart_Rate_Variability_RMSSD,1.0,6.0,0.0,True
Wearable,High_Adiposity_Risk,Sleep_Duration_Hours,1.0,5.0,0.0,True
Wearable,High_Adiposity_Risk,Sleep_Efficiency_Score,0.0,12.0,0.0,False
Wearable,High_Adiposity_Risk,Autonomic_Stress_Score,1.0,2.0,0.0,True
Wearable,High_Adiposity_Risk,Activity_Energy_Expenditure,1.0,1.0,0.0,True
Wearable,High_Adiposity_Risk,Exercise_Frequency_Days,1.0,7.0,0.0,True
Wearable,High_Adiposity_Risk,CGM_Average_Glucose,1.0,10.0,0.0,True
Wearable,High_Adiposity_Risk,CGM_Glucose_CV,0.0,11.0,0.0,False
Wearable,High_Adiposity_Risk,CGM_Time_In_Range,0.0,14.0,0.0,False
Wearable,High_Adiposity_Risk,CGM_Time_Above_Range,0.0,13.0,0.0,False
Wearable,High_Adiposity_Risk,CGM_Time_Below_Range,0.0,15.0,0.0,False
Wearable,Metabolic_Syndrome,Average_Daily_Steps,0.95,3.45,1.96,True
Wearable,Metabolic_Syndrome,Active_Minutes,0.05,11.55,1.96,False
Wearable,Metabolic_Syndrome,Sedentary_Time_Minutes,1.0,5.0,0.0,True
Wearable,Metabolic_Syndrome,Resting_Heart_Rate,1.0,6.0,0.0,True
Wearable,Metabolic_Syndrome,Heart_Rate_Variability_RMSSD,0.1,13.4,1.8,False
Wearable,Metabolic_Syndrome,Sleep_Duration_Hours,0.65,9.85,2.54,False
Wearable,Metabolic_Syndrome,Sleep_Efficiency_Score,0.25,11.75,2.17,False
Wearable,Metabolic_Syndrome,Autonomic_Stress_Score,1.0,4.0,0.0,True
Wearable,Metabolic_Syndrome,Activity_Energy_Expenditure,1.0,2.0,0.0,True
Wearable,Metabolic_Syndrome,Exercise_Frequency_Days,1.0,7.0,0.0,True
Wearable,Metabolic_Syndrome,CGM_Average_Glucose,0.0,11.0,0.0,False
Wearable,Metabolic_Syndrome,CGM_Glucose_CV,1.0,1.0,0.0,True
Wearable,Metabolic_Syndrome,CGM_Time_In_Range,1.0,10.0,0.0,True
Wearable,Metabolic_Syndrome,CGM_Time_Above_Range,0.0,15.0,0.0,False
Wearable,Metabolic_Syndrome,CGM_Time_Below_Range,1.0,9.0,0.0,True
Wearable,NAFLD,Average_Daily_Steps,0.0,12.0,0.0,False
Wearable,NAFLD,Active_Minutes,1.0,5.0,0.0,True
Wearable,NAFLD,Sedentary_Time_Minutes,1.0,7.0,0.0,True
Wearable,NAFLD,Resting_Heart_Rate,0.0,11.0,0.0,False
Wearable,NAFLD,Heart_Rate_Variability_RMSSD,1.0,6.0,0.0,True
Wearable,NAFLD,Sleep_Duration_Hours,0.0,14.0,0.0,False
Wearable,NAFLD,Sleep_Efficiency_Score,1.0,3.0,0.0,True
Wearable,NAFLD,Autonomic_Stress_Score,1.0,9.0,0.0,True
Wearable,NAFLD,Activity_Energy_Expenditure,0.0,13.0,0.0,False
Wearable,NAFLD,Exercise_Frequency_Days,1.0,4.0,0.0,True
Wearable,NAFLD,CGM_Average_Glucose,0.65,5.9,6.68,False
Wearable,NAFLD,CGM_Glucose_CV,0.9,7.35,4.88,True
Wearable,NAFLD,CGM_Time_In_Range,0.45,12.75,2.49,False
Wearable,NAFLD,CGM_Time_Above_Range,1.0,2.0,0.0,True
Wearable,NAFLD,CGM_Time_Below_Range,1.0,8.0,0.0,True
Gut,Type2_Diabetes,Akkermansia_muciniphila,0.0,48.0,0.0,False
Gut,Type2_Diabetes,Faecalibacterium_prausnitzii,0.0,16.0,0.0,False
Gut,Type2_Diabetes,Roseburia_intestinalis,0.0,17.0,0.0,False
Gut,Type2_Diabetes,Bifidobacterium_longum,0.0,29.0,0.0,False
Gut,Type2_Diabetes,Bifidobacterium_adolescentis,1.0,10.0,0.0,True
Gut,Type2_Diabetes,Bacteroides_thetaiotaomicron,0.0,38.0,0.0,False
Gut,Type2_Diabetes,Bacteroides_vulgatus,0.0,20.7,13.29,False
Gut,Type2_Diabetes,Bacteroides_fragilis,0.0,32.3,13.29,False
Gut,Type2_Diabetes,Bacteroides_uniformis,0.7,17.3,14.21,False
Gut,Type2_Diabetes,Prevotella_copri,0.35,27.1,16.35,False
Gut,Type2_Diabetes,Ruminococcus_bromii,0.95,3.6,8.39,True
Gut,Type2_Diabetes,Ruminococcus_gnavus,0.0,22.0,0.0,False
Gut,Type2_Diabetes,Blautia_wexlerae,0.05,27.8,9.38,False
Gut,Type2_Diabetes,Blautia_hansenii,0.15,32.4,15.88,False
Gut,Type2_Diabetes,Collinsella_aerofaciens,0.15,31.3,15.59,False
Gut,Type2_Diabetes,Escherichia_coli,0.1,30.15,12.92,False
Gut,Type2_Diabetes,Klebsiella_pneumoniae,0.55,16.35,16.89,False
Gut,Type2_Diabetes,Coprococcus_eutactus,0.15,35.0,11.98,False
Gut,Type2_Diabetes,Alistipes_putredinis,0.5,23.25,16.35,False
Gut,Type2_Diabetes,Alistipes_finegoldii,0.4,26.2,15.9,False
Gut,Type2_Diabetes,Subdoligranulum_variable,0.45,11.05,6.86,False
Gut,Type2_Diabetes,Enterococcus_faecalis,0.5,9.5,3.5,False
Gut,Type2_Diabetes,Eubacterium_rectale,0.0,33.0,0.0,False
Gut,Type2_Diabetes,Eubacterium_hallii,0.15,39.85,14.64,False
Gut,Type2_Diabetes,Parabacteroides_distasonis,0.85,11.15,14.64,True
Gut,Type2_Diabetes,Lactobacillus_acidophilus,0.0,23.55,13.19,False
Gut,Type2_Diabetes,Lactobacillus_rhamnosus,0.0,33.75,12.79,False
Gut,Type2_Diabetes,Streptococcus_thermophilus,0.0,38.7,4.12,False
Gut,Type2_Diabetes,Eggerthella_lenta,0.05,43.75,11.23,False
Gut,Type2_Diabetes,Christensenella_minuta,0.25,33.25,18.86,False
Gut,Type2_Diabetes,Methanobrevibacter_smithii,0.6,19.0,19.17,False
Gut,Type2_Diabetes,Dialister_invisus,0.1,21.4,9.44,False
Gut,Type2_Diabetes,Holdemanella_biformis,0.0,24.9,2.51,False
Gut,Type2_Diabetes,Barnesiella_intestinihominis,0.0,23.0,3.18,False
Gut,Type2_Diabetes,Anaerostipes_caccae,0.0,26.45,4.44,False
Gut,Type2_Diabetes,Phascolarctobacterium_faecium,0.0,23.25,4.09,False
Gut,Type2_Diabetes,Veillonella_parvula,0.0,27.5,3.87,False
Gut,Type2_Diabetes,Fusobacterium_nucleatum,0.0,29.85,5.52,False
Gut,Type2_Diabetes,Bilophila_wadsworthia,0.0,27.5,7.47,False
Gut,Type2_Diabetes,Sutterella_wadsworthensis,0.25,31.05,15.26,False
Gut,Type2_Diabetes,Shannon_Diversity,0.25,20.95,13.23,False
Gut,Type2_Diabetes,Simpson_Diversity,0.45,14.55,8.09,False
Gut,Type2_Diabetes,Observed_Richness,0.3,12.2,6.87,False
Gut,Type2_Diabetes,Pielou_Evenness,0.35,14.2,10.78,False
Gut,Type2_Diabetes,SCFA_Producer_Index,0.35,18.2,11.77,False
Gut,Type2_Diabetes,Butyrate_Producer_Index,0.05,29.2,6.26,False
Gut,Type2_Diabetes,Barrier_Associated_Index,0.0,21.15,9.78,False
Gut,Type2_Diabetes,Inflammation_Associated_Index,0.0,27.65,10.02,False
Gut,Type2_Diabetes,Log_Firmicutes_Bacteroidetes_Ratio,0.0,32.0,0.0,False
Gut,Prediabetes,Akkermansia_muciniphila,0.0,49.0,0.0,False
Gut,Prediabetes,Faecalibacterium_prausnitzii,0.8,12.35,12.08,True
Gut,Prediabetes,Roseburia_intestinalis,0.25,28.05,15.95,False
Gut,Prediabetes,Bifidobacterium_longum,0.4,15.05,10.66,False
Gut,Prediabetes,Bifidobacterium_adolescentis,0.4,15.65,11.86,False
Gut,Prediabetes,Bacteroides_thetaiotaomicron,0.35,14.5,6.45,False
Gut,Prediabetes,Bacteroides_vulgatus,0.8,12.4,4.8,True
Gut,Prediabetes,Bacteroides_fragilis,0.3,33.2,16.5,False
Gut,Prediabetes,Bacteroides_uniformis,0.5,20.1,16.03,False
Gut,Prediabetes,Prevotella_copri,0.3,13.3,4.3,False
Gut,Prediabetes,Ruminococcus_bromii,0.9,3.4,4.2,True
Gut,Prediabetes,Ruminococcus_gnavus,0.0,44.85,0.65,False
Gut,Prediabetes,Blautia_wexlerae,0.0,36.55,8.77,False
Gut,Prediabetes,Blautia_hansenii,0.1,23.1,7.8,False
Gut,Prediabetes,Collinsella_aerofaciens,0.4,20.5,12.14,False
Gut,Prediabetes,Escherichia_coli,0.5,16.0,7.21,False
Gut,Prediabetes,Klebsiella_pneumoniae,0.0,30.05,7.1,False
Gut,Prediabetes,Coprococcus_eutactus,0.0,31.05,8.3,False
Gut,Prediabetes,Alistipes_putredinis,0.0,40.3,7.9,False
Gut,Prediabetes,Alistipes_finegoldii,0.0,42.8,6.57,False
Gut,Prediabetes,Subdoligranulum_variable,0.0,35.7,14.24,False
Gut,Prediabetes,Enterococcus_faecalis,0.05,25.7,16.35,False
Gut,Prediabetes,Eubacterium_rectale,0.15,14.8,9.25,False
Gut,Prediabetes,Eubacterium_hallii,0.8,4.6,3.2,True
Gut,Prediabetes,Parabacteroides_distasonis,0.25,20.4,14.2,False
Gut,Prediabetes,Lactobacillus_acidophilus,0.2,24.9,14.43,False
Gut,Prediabetes,Lactobacillus_rhamnosus,0.1,26.35,11.15,False
Gut,Prediabetes,Streptococcus_thermophilus,0.15,20.4,10.88,False
Gut,Prediabetes,Eggerthella_lenta,0.15,22.75,11.9,False
Gut,Prediabetes,Christensenella_minuta,0.05,26.8,8.81,False
Gut,Prediabetes,Methanobrevibacter_smithii,0.0,23.2,7.1,False
Gut,Prediabetes,Dialister_invisus,0.1,22.8,10.43,False
Gut,Prediabetes,Holdemanella_biformis,0.0,33.85,9.27,False
Gut,Prediabetes,Barnesiella_intestinihominis,0.0,24.55,9.7,False
Gut,Prediabetes,Anaerostipes_caccae,0.0,20.65,10.11,False
Gut,Prediabetes,Phascolarctobacterium_faecium,0.0,19.35,9.38,False
Gut,Prediabetes,Veillonella_parvula,0.0,32.0,4.36,False
Gut,Prediabetes,Fusobacterium_nucleatum,0.0,39.0,0.0,False
Gut,Prediabetes,Bilophila_wadsworthia,0.9,7.5,7.5,True
Gut,Prediabetes,Sutterella_wadsworthensis,0.1,27.5,7.5,False
Gut,Prediabetes,Shannon_Diversity,0.0,28.0,0.0,False
Gut,Prediabetes,Simpson_Diversity,0.0,46.0,0.0,False
Gut,Prediabetes,Observed_Richness,0.0,26.0,0.0,False
Gut,Prediabetes,Pielou_Evenness,0.0,32.0,0.0,False
Gut,Prediabetes,SCFA_Producer_Index,1.0,4.0,0.0,True
Gut,Prediabetes,Butyrate_Producer_Index,0.0,27.0,0.0,False
Gut,Prediabetes,Barrier_Associated_Index,0.0,36.6,0.49,False
Gut,Prediabetes,Inflammation_Associated_Index,0.0,36.4,0.49,False
Gut,Prediabetes,Log_Firmicutes_Bacteroidetes_Ratio,0.0,14.0,0.0,False
Gut,High_Adiposity_Risk,Akkermansia_muciniphila,0.0,49.0,0.0,False
Gut,High_Adiposity_Risk,Faecalibacterium_prausnitzii,1.0,2.0,0.0,True
Gut,High_Adiposity_Risk,Roseburia_intestinalis,0.0,12.5,2.18,False
Gut,High_Adiposity_Risk,Bifidobacterium_longum,0.0,21.5,2.18,False
Gut,High_Adiposity_Risk,Bifidobacterium_adolescentis,0.0,16.0,0.0,False
Gut,High_Adiposity_Risk,Bacteroides_thetaiotaomicron,0.0,41.0,0.0,False
Gut,High_Adiposity_Risk,Bacteroides_vulgatus,0.3,20.5,6.87,False
Gut,High_Adiposity_Risk,Bacteroides_fragilis,0.7,14.5,6.87,False
Gut,High_Adiposity_Risk,Bacteroides_uniformis,0.05,43.05,8.5,False
Gut,High_Adiposity_Risk,Prevotella_copri,0.75,10.3,10.89,False
Gut,High_Adiposity_Risk,Ruminococcus_bromii,0.8,7.9,7.66,True
Gut,High_Adiposity_Risk,Ruminococcus_gnavus,0.4,15.7,9.6,False
Gut,High_Adiposity_Risk,Blautia_wexlerae,0.05,23.1,13.19,False
Gut,High_Adiposity_Risk,Blautia_hansenii,0.05,24.7,13.56,False
Gut,High_Adiposity_Risk,Collinsella_aerofaciens,0.35,19.4,13.93,False
Gut,High_Adiposity_Risk,Escherichia_coli,0.3,24.6,15.27,False
Gut,High_Adiposity_Risk,Klebsiella_pneumoniae,0.35,18.05,10.0,False
Gut,High_Adiposity_Risk,Coprococcus_eutactus,0.7,11.95,8.28,False
Gut,High_Adiposity_Risk,Alistipes_putredinis,0.55,13.35,6.23,False
Gut,High_Adiposity_Risk,Alistipes_finegoldii,0.45,15.4,10.65,False
Gut,High_Adiposity_Risk,Subdoligranulum_variable,0.15,22.8,12.87,False
Gut,High_Adiposity_Risk,Enterococcus_faecalis,0.1,26.5,14.76,False
Gut,High_Adiposity_Risk,Eubacterium_rectale,0.05,21.1,13.49,False
Gut,High_Adiposity_Risk,Eubacterium_hallii,0.75,10.8,13.52,False
Gut,High_Adiposity_Risk,Parabacteroides_distasonis,0.15,35.65,13.59,False
Gut,High_Adiposity_Risk,Lactobacillus_acidophilus,0.0,29.65,2.83,False
Gut,High_Adiposity_Risk,Lactobacillus_rhamnosus,0.0,48.0,0.0,False
Gut,High_Adiposity_Risk,Streptococcus_thermophilus,0.0,23.7,6.26,False
Gut,High_Adiposity_Risk,Eggerthella_lenta,0.0,28.0,6.13,False
Gut,High_Adiposity_Risk,Christensenella_minuta,0.0,32.45,7.07,False
Gut,High_Adiposity_Risk,Methanobrevibacter_smithii,0.0,32.4,6.99,False
Gut,High_Adiposity_Risk,Dialister_invisus,0.0,31.45,2.96,False
Gut,High_Adiposity_Risk,Holdemanella_biformis,0.0,33.6,5.67,False
Gut,High_Adiposity_Risk,Barnesiella_intestinihominis,0.0,33.2,5.98,False
Gut,High_Adiposity_Risk,Anaerostipes_caccae,0.0,36.2,5.95,False
Gut,High_Adiposity_Risk,Phascolarctobacterium_faecium,0.35,16.85,11.92,False
Gut,High_Adiposity_Risk,Veillonella_parvula,0.45,13.6,11.68,False
Gut,High_Adiposity_Risk,Fusobacterium_nucleatum,0.15,23.55,11.28,False
Gut,High_Adiposity_Risk,Bilophila_wadsworthia,0.05,23.0,8.29,False
Gut,High_Adiposity_Risk,Sutterella_wadsworthensis,0.0,47.0,0.0,False
Gut,High_Adiposity_Risk,Shannon_Diversity,0.9,6.5,4.5,True
Gut,High_Adiposity_Risk,Simpson_Diversity,0.1,20.4,6.87,False
Gut,High_Adiposity_Risk,Observed_Richness,0.0,32.4,6.31,False
Gut,High_Adiposity_Risk,Pielou_Evenness,0.0,35.0,5.79,False
Gut,High_Adiposity_Risk,SCFA_Producer_Index,0.0,32.15,8.01,False
Gut,High_Adiposity_Risk,Butyrate_Producer_Index,0.0,18.55,9.12,False
Gut,High_Adiposity_Risk,Barrier_Associated_Index,0.0,46.0,0.0,False
Gut,High_Adiposity_Risk,Inflammation_Associated_Index,0.0,31.8,0.87,False
Gut,High_Adiposity_Risk,Log_Firmicutes_Bacteroidetes_Ratio,0.0,28.2,0.87,False
Gut,Metabolic_Syndrome,Akkermansia_muciniphila,0.0,41.3,0.9,False
Gut,Metabolic_Syndrome,Faecalibacterium_prausnitzii,0.0,43.7,0.9,False
Gut,Metabolic_Syndrome,Roseburia_intestinalis,0.0,17.3,5.67,False
Gut,Metabolic_Syndrome,Bifidobacterium_longum,0.0,43.1,6.85,False
Gut,Metabolic_Syndrome,Bifidobacterium_adolescentis,0.0,45.6,2.94,False
Gut,Metabolic_Syndrome,Bacteroides_thetaiotaomicron,0.0,17.0,0.0,False
Gut,Metabolic_Syndrome,Bacteroides_vulgatus,0.0,20.1,12.37,False
Gut,Metabolic_Syndrome,Bacteroides_fragilis,0.0,30.75,11.37,False
Gut,Metabolic_Syndrome,Bacteroides_uniformis,0.0,27.4,5.84,False
Gut,Metabolic_Syndrome,Prevotella_copri,0.0,23.75,3.03,False
Gut,Metabolic_Syndrome,Ruminococcus_bromii,0.0,37.0,0.0,False
Gut,Metabolic_Syndrome,Ruminococcus_gnavus,0.0,36.05,4.64,False
Gut,Metabolic_Syndrome,Blautia_wexlerae,0.0,26.05,5.66,False
Gut,Metabolic_Syndrome,Blautia_hansenii,0.0,21.3,4.21,False
Gut,Metabolic_Syndrome,Collinsella_aerofaciens,0.0,15.6,4.52,False
Gut,Metabolic_Syndrome,Escherichia_coli,0.1,25.7,6.17,False
Gut,Metabolic_Syndrome,Klebsiella_pneumoniae,0.1,38.3,12.47,False
Gut,Metabolic_Syndrome,Coprococcus_eutactus,0.35,29.25,16.93,False
Gut,Metabolic_Syndrome,Alistipes_putredinis,0.5,19.4,12.42,False
Gut,Metabolic_Syndrome,Alistipes_finegoldii,0.55,15.9,13.51,False
Gut,Metabolic_Syndrome,Subdoligranulum_variable,0.4,20.85,16.09,False
Gut,Metabolic_Syndrome,Enterococcus_faecalis,0.0,32.4,12.49,False
Gut,Metabolic_Syndrome,Eubacterium_rectale,0.0,36.85,7.17,False
Gut,Metabolic_Syndrome,Eubacterium_hallii,0.05,30.95,10.57,False
Gut,Metabolic_Syndrome,Parabacteroides_distasonis,0.05,31.0,7.82,False
Gut,Metabolic_Syndrome,Lactobacillus_acidophilus,0.1,26.5,9.22,False
Gut,Metabolic_Syndrome,Lactobacillus_rhamnosus,0.35,17.05,10.58,False
Gut,Metabolic_Syndrome,Streptococcus_thermophilus,0.35,14.5,8.11,False
Gut,Metabolic_Syndrome,Eggerthella_lenta,0.1,20.2,6.87,False
Gut,Metabolic_Syndrome,Christensenella_minuta,0.0,31.25,5.86,False
Gut,Metabolic_Syndrome,Methanobrevibacter_smithii,0.45,27.05,15.74,False
Gut,Metabolic_Syndrome,Dialister_invisus,0.55,24.85,16.42,False
Gut,Metabolic_Syndrome,Holdemanella_biformis,0.75,10.25,2.17,False
Gut,Metabolic_Syndrome,Barnesiella_intestinihominis,0.25,12.75,2.17,False
Gut,Metabolic_Syndrome,Anaerostipes_caccae,1.0,3.0,0.0,True
Gut,Metabolic_Syndrome,Phascolarctobacterium_faecium,1.0,3.35,1.68,True
Gut,Metabolic_Syndrome,Veillonella_parvula,1.0,2.8,1.66,True
Gut,Metabolic_Syndrome,Fusobacterium_nucleatum,1.0,1.85,1.39,True
Gut,Metabolic_Syndrome,Bilophila_wadsworthia,0.0,47.85,5.01,False
Gut,Metabolic_Syndrome,Sutterella_wadsworthensis,0.0,29.75,10.03,False
Gut,Metabolic_Syndrome,Shannon_Diversity,0.0,30.95,11.32,False
Gut,Metabolic_Syndrome,Simpson_Diversity,0.0,30.6,12.77,False
