modality,disease,feature,feature_rank,mean_abs_shap,median_abs_shap,pct_contribution,directional_association
Wearable,Prediabetes,Sedentary_Time_Minutes,11,0.11621,0.116233,5.27,Non-linear / context-dependent model risk association
Wearable,Prediabetes,Average_Daily_Steps,12,0.027649,0.027433,1.25,Non-linear / context-dependent model risk association
Wearable,Prediabetes,Activity_Energy_Expenditure,13,0.312558,0.312481,14.17,Non-linear / context-dependent model risk association
Wearable,Prediabetes,Autonomic_Stress_Score,14,0.166709,0.168716,7.56,Non-linear / context-dependent model risk association
Wearable,Prediabetes,CGM_Time_Above_Range,15,0.098725,0.099393,4.47,Higher value associated with lower model-predicted risk
Wearable,Type2_Diabetes,CGM_Time_Below_Range,1,0.006775,0.001809,0.58,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,Activity_Energy_Expenditure,2,0.156315,0.131744,13.43,Higher value associated with lower model-predicted risk
Wearable,Type2_Diabetes,Sleep_Duration_Hours,3,0.06447,0.050839,5.54,Higher value associated with lower model-predicted risk
Wearable,Type2_Diabetes,Sedentary_Time_Minutes,4,0.066492,0.054002,5.71,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,Active_Minutes,5,0.038627,0.032701,3.32,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,Sleep_Efficiency_Score,6,0.034019,0.028675,2.92,Higher value associated with lower model-predicted risk
Wearable,Type2_Diabetes,Exercise_Frequency_Days,7,0.010004,0.009608,0.86,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,Average_Daily_Steps,8,0.005154,0.004574,0.44,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,Resting_Heart_Rate,9,0.162521,0.152185,13.96,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,CGM_Glucose_CV,10,0.114341,0.023512,9.82,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,Autonomic_Stress_Score,11,0.229024,0.208406,19.68,Higher value associated with lower model-predicted risk
Wearable,Type2_Diabetes,Heart_Rate_Variability_RMSSD,12,0.193889,0.160568,16.66,Higher value associated with lower model-predicted risk
Wearable,Type2_Diabetes,CGM_Average_Glucose,13,0.05643,0.012718,4.85,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,CGM_Time_Above_Range,14,0.005225,0.001301,0.45,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,CGM_Time_In_Range,15,0.020596,0.005025,1.77,Higher value associated with lower model-predicted risk
