modality,disease,feature,feature_rank,mean_abs_shap,median_abs_shap,pct_contribution,directional_association
Gut,Metabolic_Syndrome,Collinsella_aerofaciens,13,0.011757,0.009197,1.56,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Barnesiella_intestinihominis,14,0.011131,0.009386,1.47,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Subdoligranulum_variable,15,0.003435,0.002925,0.45,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Roseburia_intestinalis,16,0.005502,0.004448,0.73,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Bacteroides_thetaiotaomicron,17,0.012289,0.01057,1.63,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Observed_Richness,18,0.008124,0.006573,1.07,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Lactobacillus_rhamnosus,19,0.014447,0.011967,1.91,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Eggerthella_lenta,20,0.030839,0.027128,4.08,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Simpson_Diversity,21,0.045188,0.037443,5.98,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Prevotella_copri,22,0.008057,0.006396,1.07,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Blautia_hansenii,23,0.006017,0.005133,0.8,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Inflammation_Associated_Index,24,0.044698,0.041808,5.91,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Blautia_wexlerae,25,0.016156,0.014102,2.14,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Sutterella_wadsworthensis,26,0.010857,0.009012,1.44,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Escherichia_coli,27,0.050447,0.045906,6.67,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Parabacteroides_distasonis,28,0.018428,0.015468,2.44,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Bacteroides_uniformis,29,0.00622,0.00508,0.82,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Pielou_Evenness,30,0.054546,0.043735,7.22,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Lactobacillus_acidophilus,31,0.003668,0.002844,0.49,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Christensenella_minuta,32,0.002592,0.002088,0.34,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Coprococcus_eutactus,33,0.003407,0.002885,0.45,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Eubacterium_rectale,34,0.016713,0.0131,2.21,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Butyrate_Producer_Index,35,0.003465,0.003063,0.46,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Log_Firmicutes_Bacteroidetes_Ratio,36,0.004098,0.003338,0.54,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Ruminococcus_bromii,37,0.002018,0.001641,0.27,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Ruminococcus_gnavus,38,0.0331,0.027751,4.38,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Bacteroides_fragilis,39,0.013041,0.011047,1.73,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Eubacterium_hallii,40,0.001876,0.001589,0.25,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Akkermansia_muciniphila,41,0.004676,0.003754,0.62,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Bifidobacterium_longum,42,0.009671,0.007584,1.28,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Methanobrevibacter_smithii,43,0.010246,0.008407,1.36,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Faecalibacterium_prausnitzii,44,0.004778,0.004142,0.63,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Enterococcus_faecalis,45,0.029741,0.026018,3.93,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Shannon_Diversity,46,0.055358,0.04362,7.32,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Klebsiella_pneumoniae,47,0.036695,0.029465,4.85,Higher value associated with higher model-predicted risk
Gut,Metabolic_Syndrome,Bifidobacterium_adolescentis,48,0.004823,0.003824,0.64,Higher value associated with lower model-predicted risk
Gut,Metabolic_Syndrome,Bilophila_wadsworthia,49,0.03232,0.02643,4.28,Higher value associated with higher model-predicted risk
Gut,NAFLD,Escherichia_coli,1,0.019253,0.019458,6.53,Higher value associated with higher model-predicted risk
Gut,NAFLD,Blautia_wexlerae,2,0.003941,0.004038,1.34,Higher value associated with lower model-predicted risk
Gut,NAFLD,Eubacterium_hallii,3,0.001162,0.001165,0.39,Higher value associated with lower model-predicted risk
Gut,NAFLD,Coprococcus_eutactus,4,0.002205,0.002281,0.75,Higher value associated with lower model-predicted risk
Gut,NAFLD,Barnesiella_intestinihominis,5,0.00027,0.000192,0.09,Non-linear / context-dependent model risk association
Gut,NAFLD,Parabacteroides_distasonis,6,0.00049,0.000435,0.17,Higher value associated with lower model-predicted risk
Gut,NAFLD,Anaerostipes_caccae,7,0.001045,0.001103,0.35,Higher value associated with lower model-predicted risk
Gut,NAFLD,Veillonella_parvula,8,0.000511,0.000493,0.17,Non-linear / context-dependent model risk association
Gut,NAFLD,Alistipes_finegoldii,9,0.000517,0.000406,0.18,Higher value associated with lower model-predicted risk
Gut,NAFLD,Lactobacillus_rhamnosus,10,0.001337,0.001438,0.45,Higher value associated with lower model-predicted risk
Gut,NAFLD,Lactobacillus_acidophilus,11,0.000511,0.00041,0.17,Higher value associated with lower model-predicted risk
Gut,NAFLD,Bacteroides_vulgatus,12,0.001117,0.001035,0.38,Non-linear / context-dependent model risk association
Gut,NAFLD,Alistipes_putredinis,13,0.001628,0.001711,0.55,Higher value associated with lower model-predicted risk
Gut,NAFLD,Subdoligranulum_variable,14,0.001167,0.001129,0.4,Higher value associated with lower model-predicted risk
Gut,NAFLD,Enterococcus_faecalis,15,0.014067,0.014812,4.77,Higher value associated with higher model-predicted risk
Gut,NAFLD,Bifidobacterium_adolescentis,16,0.001136,0.001163,0.39,Higher value associated with lower model-predicted risk
Gut,NAFLD,Bifidobacterium_longum,17,0.004205,0.004702,1.43,Higher value associated with lower model-predicted risk
Gut,NAFLD,Eubacterium_rectale,18,0.004209,0.004403,1.43,Higher value associated with lower model-predicted risk
Gut,NAFLD,Streptococcus_thermophilus,19,0.00056,0.000473,0.19,Higher value associated with lower model-predicted risk
Gut,NAFLD,Simpson_Diversity,20,0.000568,0.000435,0.19,Non-linear / context-dependent model risk association
Gut,NAFLD,Dialister_invisus,21,0.001306,0.001435,0.44,Higher value associated with lower model-predicted risk
Gut,NAFLD,Bacteroides_fragilis,22,0.000995,0.001045,0.34,Higher value associated with lower model-predicted risk
Gut,NAFLD,Klebsiella_pneumoniae,23,0.021861,0.023259,7.41,Higher value associated with higher model-predicted risk
Gut,NAFLD,Holdemanella_biformis,24,0.000762,0.000733,0.26,Higher value associated with lower model-predicted risk
Gut,NAFLD,SCFA_Producer_Index,25,0.029343,0.033421,9.95,Higher value associated with lower model-predicted risk
Gut,NAFLD,Pielou_Evenness,26,0.007286,0.008028,2.47,Higher value associated with lower model-predicted risk
Gut,NAFLD,Eggerthella_lenta,27,0.010333,0.011444,3.5,Higher value associated with higher model-predicted risk
Gut,NAFLD,Shannon_Diversity,28,0.004599,0.004712,1.56,Higher value associated with lower model-predicted risk
Gut,NAFLD,Prevotella_copri,29,0.001662,0.001732,0.56,Higher value associated with lower model-predicted risk
Gut,NAFLD,Butyrate_Producer_Index,30,0.023839,0.027959,8.09,Higher value associated with lower model-predicted risk
Gut,NAFLD,Inflammation_Associated_Index,31,0.044992,0.04695,15.26,Higher value associated with higher model-predicted risk
Gut,NAFLD,Christensenella_minuta,32,0.000394,0.000296,0.13,Non-linear / context-dependent model risk association
Gut,NAFLD,Bilophila_wadsworthia,33,0.017764,0.020205,6.02,Higher value associated with higher model-predicted risk
Gut,NAFLD,Log_Firmicutes_Bacteroidetes_Ratio,34,0.001215,0.001005,0.41,Higher value associated with higher model-predicted risk
Gut,NAFLD,Phascolarctobacterium_faecium,35,0.000837,0.00085,0.28,Higher value associated with lower model-predicted risk
Gut,NAFLD,Fusobacterium_nucleatum,36,0.00936,0.010549,3.17,Higher value associated with higher model-predicted risk
Gut,NAFLD,Observed_Richness,37,0.006922,0.006801,2.35,Non-linear / context-dependent model risk association
Gut,NAFLD,Ruminococcus_bromii,38,0.001762,0.001768,0.6,Higher value associated with lower model-predicted risk
Gut,NAFLD,Bacteroides_thetaiotaomicron,39,0.001864,0.001982,0.63,Non-linear / context-dependent model risk association
Gut,NAFLD,Barrier_Associated_Index,40,0.011255,0.012316,3.82,Higher value associated with lower model-predicted risk
Gut,NAFLD,Collinsella_aerofaciens,41,0.002251,0.002322,0.76,Higher value associated with higher model-predicted risk
Gut,NAFLD,Sutterella_wadsworthensis,42,0.000344,0.000254,0.12,Non-linear / context-dependent model risk association
Gut,NAFLD,Blautia_hansenii,43,0.002649,0.00267,0.9,Higher value associated with lower model-predicted risk
Gut,NAFLD,Ruminococcus_gnavus,44,0.014342,0.015862,4.86,Higher value associated with higher model-predicted risk
Gut,NAFLD,Faecalibacterium_prausnitzii,45,0.007167,0.007859,2.43,Higher value associated with lower model-predicted risk
Gut,NAFLD,Roseburia_intestinalis,46,0.001885,0.001833,0.64,Higher value associated with lower model-predicted risk
Gut,NAFLD,Bacteroides_uniformis,47,0.003076,0.003226,1.04,Higher value associated with lower model-predicted risk
Gut,NAFLD,Akkermansia_muciniphila,48,0.004544,0.005047,1.54,Higher value associated with lower model-predicted risk
Gut,NAFLD,Methanobrevibacter_smithii,49,0.00034,0.000244,0.12,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Lactobacillus_rhamnosus,1,0.001839,0.001523,0.13,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Ruminococcus_bromii,2,0.024014,0.019525,1.67,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Eubacterium_hallii,3,0.015217,0.01289,1.06,Higher value associated with higher model-predicted risk
Gut,Prediabetes,SCFA_Producer_Index,4,0.038344,0.034837,2.67,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Bilophila_wadsworthia,5,0.011081,0.009062,0.77,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Bifidobacterium_adolescentis,6,0.010143,0.008043,0.71,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Faecalibacterium_prausnitzii,7,0.045734,0.039645,3.18,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Bacteroides_uniformis,8,0.033599,0.027443,2.34,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Escherichia_coli,9,0.049043,0.044629,3.41,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Bacteroides_vulgatus,10,0.076835,0.063913,5.34,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Enterococcus_faecalis,11,0.070002,0.061239,4.87,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Bifidobacterium_longum,12,0.002144,0.001681,0.15,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Phascolarctobacterium_faecium,13,0.001581,0.001296,0.11,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Log_Firmicutes_Bacteroidetes_Ratio,14,0.157052,0.127951,10.92,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Methanobrevibacter_smithii,15,0.016976,0.013929,1.18,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Prevotella_copri,16,0.064639,0.051309,4.49,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Lactobacillus_acidophilus,17,0.004668,0.003619,0.32,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Anaerostipes_caccae,18,0.017733,0.013813,1.23,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Eubacterium_rectale,19,0.027882,0.021855,1.94,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Collinsella_aerofaciens,20,0.016877,0.013202,1.17,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Streptococcus_thermophilus,21,0.007071,0.00579,0.49,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Bacteroides_thetaiotaomicron,22,0.070368,0.060526,4.89,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Coprococcus_eutactus,23,0.014896,0.012615,1.04,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Barnesiella_intestinihominis,24,0.028507,0.024036,1.98,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Blautia_hansenii,25,0.000298,0.000255,0.02,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Observed_Richness,26,0.015304,0.012382,1.06,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Butyrate_Producer_Index,27,0.005971,0.005279,0.42,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Shannon_Diversity,28,0.074073,0.058367,5.15,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Dialister_invisus,29,0.003731,0.00299,0.26,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Sutterella_wadsworthensis,30,0.026746,0.022199,1.86,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Christensenella_minuta,31,0.009101,0.007331,0.63,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Pielou_Evenness,32,0.052557,0.04214,3.65,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Veillonella_parvula,33,0.001601,0.001292,0.11,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Klebsiella_pneumoniae,34,0.018663,0.014986,1.3,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Eggerthella_lenta,35,0.016649,0.014645,1.16,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Inflammation_Associated_Index,36,0.02692,0.02518,1.87,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Barrier_Associated_Index,37,0.025139,0.020912,1.75,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Parabacteroides_distasonis,38,0.034578,0.029025,2.4,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Fusobacterium_nucleatum,39,0.018903,0.015903,1.31,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Alistipes_finegoldii,40,0.033786,0.028538,2.35,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Roseburia_intestinalis,41,0.022551,0.01823,1.57,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Blautia_wexlerae,42,0.014535,0.012687,1.01,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Holdemanella_biformis,43,0.01313,0.010774,0.91,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Bacteroides_fragilis,44,0.051685,0.043785,3.59,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Ruminococcus_gnavus,45,0.070733,0.059303,4.92,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Simpson_Diversity,46,0.035562,0.029467,2.47,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Subdoligranulum_variable,47,0.017798,0.015154,1.24,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Alistipes_putredinis,48,0.02401,0.019328,1.67,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Akkermansia_muciniphila,49,0.018202,0.014614,1.27,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Ruminococcus_bromii,1,0.001364,0.001086,0.69,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Klebsiella_pneumoniae,2,0.009882,0.009998,5.02,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Pielou_Evenness,3,0.002095,0.001934,1.07,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Methanobrevibacter_smithii,4,0.001207,0.000927,0.61,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Parabacteroides_distasonis,5,0.004371,0.004432,2.22,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Enterococcus_faecalis,6,0.005351,0.004896,2.72,Non-linear / context-dependent model risk association
Gut,Type2_Diabetes,Alistipes_finegoldii,7,0.001822,0.001551,0.93,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Bacteroides_uniformis,8,0.001416,0.001097,0.72,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Shannon_Diversity,9,0.006837,0.007082,3.48,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Bifidobacterium_adolescentis,10,0.003,0.003134,1.53,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Observed_Richness,11,0.00147,0.001578,0.75,Non-linear / context-dependent model risk association
Gut,Type2_Diabetes,Bacteroides_vulgatus,12,0.003874,0.003935,1.97,Non-linear / context-dependent model risk association
Gut,Type2_Diabetes,Subdoligranulum_variable,13,0.001601,0.001424,0.81,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Barrier_Associated_Index,14,0.004342,0.004427,2.21,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Lactobacillus_acidophilus,15,0.001937,0.001833,0.98,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Faecalibacterium_prausnitzii,16,0.004222,0.004457,2.15,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Roseburia_intestinalis,17,0.001288,0.000947,0.65,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Simpson_Diversity,18,0.003913,0.00406,1.99,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Dialister_invisus,19,0.000962,0.000646,0.49,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Phascolarctobacterium_faecium,20,0.002509,0.00265,1.28,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Bilophila_wadsworthia,21,0.006149,0.006217,3.13,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Ruminococcus_gnavus,22,0.006865,0.006485,3.49,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Barnesiella_intestinihominis,23,0.001629,0.0014,0.83,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Collinsella_aerofaciens,24,0.002612,0.002849,1.33,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Blautia_wexlerae,25,0.003629,0.003235,1.84,Non-linear / context-dependent model risk association
Gut,Type2_Diabetes,Holdemanella_biformis,26,0.00342,0.003704,1.74,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,SCFA_Producer_Index,27,0.002557,0.002057,1.3,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Veillonella_parvula,28,0.00393,0.003998,2.0,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Bifidobacterium_longum,29,0.00208,0.002033,1.06,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Anaerostipes_caccae,30,0.001099,0.000767,0.56,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Butyrate_Producer_Index,31,0.003103,0.002894,1.58,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Log_Firmicutes_Bacteroidetes_Ratio,32,0.002163,0.00192,1.1,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Eubacterium_rectale,33,0.001859,0.001704,0.95,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Fusobacterium_nucleatum,34,0.007488,0.008121,3.81,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Inflammation_Associated_Index,35,0.023767,0.02399,12.08,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Streptococcus_thermophilus,36,0.00163,0.001572,0.83,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Coprococcus_eutactus,37,0.001383,0.001282,0.7,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Bacteroides_thetaiotaomicron,38,0.003628,0.00347,1.84,Non-linear / context-dependent model risk association
Gut,Type2_Diabetes,Prevotella_copri,39,0.008166,0.008315,4.15,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Escherichia_coli,40,0.010683,0.010916,5.43,Higher value associated with higher model-predicted risk
